date,aqi,AQI description,precipitation,temperature,wind
2023-7-20,54,Moderate,,80.6°59°,6.7 mp/h
2023-7-21,62,Moderate,,80.6°57.2°,13.4 mp/h
2023-7-22,103,Unhealthy for Sensitive Groups,,84.2°59°,6.7 mp/h
2023-7-23,158,Unhealthy,,89.6°62.6°,4.5 mp/h
2023-7-24,153,Unhealthy,,89.6°62.6°,4.5 mp/h
2023-7-25,34,Good,,95°66.2°,8.9 mp/h
2023-7-26,41,Good,,100.4°73.4°,4.5 mp/h
2023-7-27,43,Good,70%,102.2°71.6°,11.2 mp/h
2023-7-28,30,Good,80%,91.4°64.4°,11.2 mp/h
2023-7-29,25,Good,,86°59°,6.7 mp/h
2023-7-30,21,Good,100%,95°64.4°,13.4 mp/h